,자치구,대여소ID,대여소번호,대여소명,대여소번호명,거치대수,주소1,주소2,위도,경도,행정동
0,성동구,ST-103,506,금호 어울림 아파트 앞,506. 금호 어울림 아파트 앞,7.0,서울특별시 성동구 광나루로 249,송정금호어울림 아파트 앞,37.54906082,127.05779266,송정동
1,성동구,ST-105,508,성수아카데미타워 앞,508. 성수아카데미타워 앞,10.0,서울특별시 성동구 성수이로 118 성수아카데미타워,,37.54515076,127.05754089,성수2가3동
2,성동구,ST-107,510,뚝도아리수정수센터 버스정류소 옆,510. 뚝도아리수정수센터 버스정류소 옆,15.0,서울특별시 성동구 왕십리로11길 9,서울숲남문 버스정류소 옆,37.54122162,127.04380035,성수1가1동
3,성동구,ST-108,511,서울숲역 5번 출구 옆,511. 서울숲역 5번 출구 옆,16.0,서울특별시 성동구 왕십리로 지하77,서울숲역 4번 출구 옆,37.54458237,127.04460907,성수1가1동
4,성동구,ST-109,512,뚝섬역 1번 출구 옆,512. 뚝섬역 1번 출구 옆,15.0,서울특별시 성동구 아차산로 18,뚝섬역 1번 출구 옆,37.5485611,127.0450058,성수1가2동
5,성동구,ST-111,513,뚝섬역 5번 출구 정류소 옆,513. 뚝섬역 5번 출구 정류소 옆,13.0,서울특별시 성동구 아차산로 18,뚝섬역 5번 출구 정류소 옆,37.54630661,127.04980469,성수1가2동
6,성동구,ST-112,514,성수사거리 버스정류장 앞,514. 성수사거리 버스정류장 앞,12.0,서울특별시 성동구 아차산로 171,성수사거리 버스정류장 앞,37.54257965,127.06330872,성수2가3동
7,성동구,ST-1195,3511,응봉역 1번출구,3511. 응봉역 1번출구,10.0,서울특별시 성동구 고산자로 123,응봉동 3-10,37.55125046,127.03510284,응봉동
8,성동구,ST-1197,3513,상왕십리역 1번출구,3513. 상왕십리역 1번출구,15.0,서울특별시 성동구 하왕십리동 860-1 ,상왕십리역 1번출구,37.56460953,127.02919769,왕십리도선동
9,성동구,ST-1198,3514,왕십리교회옆,3514. 왕십리교회옆,10.0,서울특별시 성동구 상왕십리동 350-1 ,왕십리교회옆,37.56626129,127.0236969,왕십리도선동
10,성동구,ST-1199,3515,서울숲 관리사무소,3515. 서울숲 관리사무소,20.0,서울특별시 성동구 성수동1가 678-1,서울숲 관리사무소,37.54281616,127.04208374,성수1가1동
11,성동구,ST-1599,3525,금호스포츠센터앞,3525. 금호스포츠센터앞,15.0,서울특별시 성동구 금호로 30,독서당 인문아카데미센터,37.54608917,127.02507019,금호4가동
12,성동구,ST-1601,3527,왕십리 자이아파트(101동 앞),3527. 왕십리 자이아파트(101동 앞),5.0,서울특별시 성동구 난계로 100,왕십리 자이아파트 103동 인근,37.56179047,127.02439117,
13,성동구,ST-1616,3530,왕십리자이아파트 후문(삼거리),3530. 왕십리자이아파트 후문(삼거리),10.0,서울특별시 성동구 무학봉길 35,왕십리자이아파트 후문(삼거리),37.56014633,127.02635956,왕십리2동
14,성동구,ST-1617,3531,논골사거리(금호도서관 입구),3531. 논골사거리(금호도서관 입구),10.0,서울특별시 성동구 난계로 20,논골사거리(금호도서관 입구),37.55477905,127.02484131,금호1가동
15,성동구,ST-1618,3532,왕십리KCC스위첸아파트,3532. 왕십리KCC스위첸아파트,9.0,서울특별시 성동구 무학봉길 35,왕십리KCC스위첸아파트,37.56068039,127.02677917,왕십리2동
